bookID,title,authors,isbn
5203,She's Come Undone,Wally Lamb,0671021001
5204,We Were the Mulvaneys,Joyce Carol Oates,0452282829
5205,A Map of the World,Jane Hamilton/Frank  Muller/C.J. Critt,0385720106
5207,Daughter of Fortune,Isabel Allende/Margaret Sayers Peden,006019491X
5209,The Meanest Thing To Say,Bill Cosby/Varnette P. Honeywood/Varnette Hon Eywood,0590956167
5210,The Good Earth (House of Earth  #1),Pearl S. Buck,0743272935
5211,A Fine Balance,Rohinton Mistry,140003065X
5212,The Best Way to Play: A Little Bill Book,Bill Cosby/Varnette P. Honeywood/Varnette Honeywood,0590956175
5213,White Oleander,Janet Fitch,0316284955
5214,Cry  the Beloved Country,Alan Paton,0743262174
5215,One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,0060740450
5216,Song of Solomon,Toni Morrison,0452260116
5217,One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,1417735988
5219,The Bluest Eye,Toni Morrison,0452282195
5220,The Poisonwood Bible,Barbara Kingsolver,0060930535
5230,Vergeef me,Wally Lamb/Inge de Heer,9022530078
5237,The Crusader: Ronald Reagan and the Fall of Communism,Paul Kengor,0061136905
5240,Ronald Reagan: How an Ordinary Man Became an Extraordinary Leader,Dinesh D'Souza,0684848236
5249,Ethan Frome and Summer,Edith Wharton/Elizabeth Strout,0375757287
5255,Collected Stories  1891-1910,Edith Wharton/Maureen Howard,1883011930
5261,A Backward Glance,Edith Wharton/Louis Auchincloss,0684847558
5272,The Best Short Stories of Edith Wharton,Edith Wharton,1417911832
5289,Complete Works of Oscar Wilde,Oscar Wilde/Merlin Holland,0007144350
5294,Oscar Wilde,Richard Ellmann,0394759842
5296,An Ideal Husband,Oscar Wilde,048641423X
5297,The Picture of Dorian Gray,Oscar Wilde/Jeffrey Eugenides,0375751513
5304,De Profundis and Other Writings,Oscar Wilde/Hesketh Pearson,014043089X
